1,Alabama A & M University,0.8965,959,0.2866,0.300413956239,35500
2,University of Alabama at Birmingham,0.806,1245,0.6117,0.21719886184,48400
3,Amridge University,NULL,NULL,0.25,0.529801324503,47600
4,University of Alabama in Huntsville,0.7711,1300,0.5714,0.176885130374,52000
5,Alabama State University,0.9888,938,0.3177,0.390491036633,30600
6,The University of Alabama,0.8039,1262,0.7214,0.107171000788,51600
7,Athens State University,NULL,NULL,NULL,0.222482435597,42400
8,Auburn University at Montgomery,0.9555,1061,0.304,0.252157238734,38000
9,Auburn University,0.8507,1302,0.787,0.109266024577,56300
10,Birmingham-Southern College,0.6045,1202,0.7094,0.140776699029,53100
11,South University-Montgomery,NULL,NULL,0.1429,0.346727898967,40200
12,Faulkner University,0.7576,1068,0.2711,0.334085778781,40700
13,Herzing University-Birmingham,0.9153,NULL,0.2222,0.341112071449,41600
14,Huntingdon College,0.5439,1101,0.4185,0.195530726257,43600
15,Heritage Christian University,0.6667,NULL,0.1429,PrivacySuppressed,PrivacySuppressed
16,Jacksonville State University,0.6369,1084,0.4551,0.228299643282,38100
17,Judson College,0.5648,1068,0.4756,0.471615720524,29300
18,University of West Alabama,0.9313,1035,0.4011,0.294498381877,40400
19,Miles College,NULL,NULL,0.2351,0.42540620384,29500
20,University of Mobile,0.6657,NULL,0.489,0.267267267267,38700
21,University of Montevallo,0.6052,1131,0.5415,0.251851851852,36100
22,University of North Alabama,0.8266,NULL,0.4995,0.218248175182,42800
23,Oakwood University,0.8881,NULL,0.5,0.32808988764,37400
24,Samford University,0.8399,1219,0.772,0.055441478439,59800
25,University of South Alabama,0.7303,1162,0.4491,0.220843672457,46800
26,Spring Hill College,0.5416,1125,0.5691,0.14328358209,51300
27,Stillman College,0.5553,NULL,0.2151,0.315985130112,33700
28,Talladega College,NULL,NULL,0.3014,0.120192307692,23900
29,Troy University,0.9243,1094,0.5017,0.301552795031,41100
30,Tuskegee University,0.6113,1016,0.5189,0.167597765363,42200
31,United States Sports Academy,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed
32,University of Alaska Anchorage,0.7683,NULL,0.3012,0.460766423358,51200
33,Alaska Bible College,NULL,NULL,0.625,PrivacySuppressed,NULL
34,University of Alaska Fairbanks,0.6701,1138,0.387,0.45291005291,45100
35,University of Alaska Southeast,0.6352,NULL,0.1753,0.450549450549,39500
36,Alaska Pacific University,0.9065,NULL,0.5556,0.178082191781,45300
37,Charter College,NULL,NULL,0.5169,0.338626809902,46400
38,Brookline College-Phoenix,NULL,NULL,0.5031,0.268987341772,23700
39,Arizona State University Campus Immersion,0.8837,1207,0.6601,0.204481792717,55500
40,University of Arizona,0.8513,1220,0.6489,0.146021840874,56000
41,Embry-Riddle Aeronautical University-Prescott,0.6685,1238,0.5916,0.301818181818,70300
42,The School of Architecture,NULL,NULL,NULL,PrivacySuppressed,NULL
43,Grand Canyon University,0.8069,NULL,0.4657,0.290818927562,58500
44,Dine College,NULL,NULL,0.2021,0.568527918782,23400
45,Northern Arizona University,0.8164,NULL,0.5687,0.169290769897,44600
46,Ottawa University-Phoenix,NULL,NULL,NULL,0.191387559809,48100
47,Pima Medical Institute-Tucson,NULL,NULL,0.6609,0.141148325359,30600
48,Prescott College,0.9842,1141,0.4878,0.203539823009,34300
49,Arizona Christian University,0.7147,1031,0.4379,0.249110320285,34900
50,University of Arkansas at Little Rock,0.5604,1098,0.4169,0.297969543147,39500
51,University of Arkansas for Medical Sciences,NULL,NULL,NULL,0.045248868778,69000
52,Arkansas Baptist College,NULL,NULL,0.1246,0.487623762376,25100
53,Lyon College,0.5015,1198,0.4252,0.183783783784,44800
54,University of Arkansas,0.7767,1236,0.685,0.135554425229,52700
55,University of Arkansas at Pine Bluff,0.5966,900,0.3892,0.2907239819,30600
56,Arkansas State University,0.6719,1149,0.5301,0.221915285451,36600
57,Arkansas Tech University,0.9766,NULL,0.4422,0.308785529716,38600
58,University of Arkansas at Monticello,NULL,NULL,0.3561,0.391,35800
59,University of Central Arkansas,0.9378,1166,0.4573,0.208293612965,42500
60,Central Baptist College,0.4981,1041,0.3846,0.244131455399,43000
61,Crowley's Ridge College,NULL,NULL,0.3871,0.347826086957,29600
62,Harding University,0.5507,1207,0.7152,0.108922363847,47000
63,Henderson State University,0.749,1098,0.3411,0.232611174458,40400
64,Hendrix College,0.7054,NULL,0.655,0.09842519685,44500
65,John Brown University,0.5886,1227,0.6447,0.122762148338,55400
66,Ouachita Baptist University,0.6177,1203,0.6048,0.155015197568,46000
67,University of the Ozarks,0.559,1070,0.4737,0.187845303867,38600
68,Philander Smith College,NULL,NULL,0.3364,0.34693877551,27300
69,Williams Baptist University,0.693,1088,0.378,0.235772357724,36400
70,Southern Arkansas University Main Campus,0.6853,1120,0.4261,0.292433537832,39000
71,University of Arkansas-Fort Smith,NULL,NULL,0.3108,0.38488453464,35000
72,Academy of Art University,NULL,NULL,0.4688,0.448840381992,47300
